,SME_offers,SME,Social_clause,G_clause,G_criterion,G_weight,Price_weight,Award_price,Legal_status,Departement,Procedure_type,CPV,Framework,Advertising,Id_contract,Allotment,Month,Contract_type,SME_ratio,Other_offers,SIREN,Participation
1033906,0.0,0,0,0,0,0.0,40.0,9.903487552536127,72,10,open,71631000,1,35.0,22-110586,1,2022_August,Services,0.0,3.0,211003512,0
1033907,3.0,0,0,0,0,0.0,40.0,11.289781913656018,72,10,open,71631000,1,35.0,22-110586,1,2022_August,Services,0.42857142857142855,4.0,211003512,1
1033908,0.0,0,0,0,0,0.0,40.0,9.903487552536127,72,10,open,71631000,1,35.0,22-110586,1,2022_August,Services,0.0,1.0,211003512,0
1033909,2.0,0,0,0,0,0.0,40.0,10.933106969717286,72,10,open,71631000,1,35.0,22-110586,1,2022_August,Services,0.5,2.0,211003512,1
1033910,2.0,0,0,0,0,0.0,40.0,10.126631103850338,72,10,open,71631000,1,35.0,22-110586,1,2022_August,Services,0.5,2.0,211003512,1
719403,2.0,0,0,0,0,0.0,60.0,10.994689116153946,55,31,open,42416100,0,31.0,22-110885,1,2022_August,Supplies,0.6666666666666666,1.0,533969457,1
540168,1.0,0,1,0,0,0.0,60.0,12.464440473333765,55,31,open,45112700,0,30.0,22-110886,1,2022_August,Works,0.5,1.0,533969457,1
788328,4.0,1,0,0,0,0.0,40.0,10.637056647594989,72,84,negotiated,71210000,0,29.0,22-111287,0,2022_August,Services,0.8,1.0,218400356,1
319517,2.0,0,0,1,1,10.0,35.0,10.596634733096073,73,33,open,35113400,1,32.0,22-111356,1,2022_August,Supplies,0.6666666666666666,1.0,243300316,1
319518,2.0,1,0,1,1,10.0,35.0,10.126631103850338,73,33,open,18110000,1,32.0,22-111356,1,2022_August,Supplies,0.6666666666666666,1.0,243300316,1
319519,2.0,1,0,1,1,10.0,35.0,10.596634733096073,73,33,open,35113400,1,32.0,22-111356,1,2022_August,Supplies,0.5,2.0,243300316,1
319520,0.0,0,0,1,1,10.0,35.0,11.002099841204238,73,33,open,35811200,1,32.0,22-111356,1,2022_August,Supplies,0.0,2.0,243300316,0
795424,0.0,0,0,1,0,0.0,40.0,16.213405830762646,73,56,open,34928480,1,34.0,22-111496,0,2022_August,Supplies,0.0,2.0,200043123,0
794291,2.0,0,0,1,1,5.0,50.0,14.73180128983843,73,56,open,34928480,1,32.0,22-111521,0,2022_August,Supplies,0.6666666666666666,1.0,200043123,1
921847,0.0,0,0,0,0,0.0,40.0,11.32176495950907,73,40,open,71300000,0,30.0,22-111546,1,2022_August,Services,0.0,1.0,244000808,0
663785,3.0,0,0,0,0,0.0,60.0,13.579788224443204,72,60,open,45421000,0,32.0,22-111809,0,2022_August,Works,0.75,1.0,226000016,1
265684,2.0,0,0,1,0,0.0,40.0,14.151982794585487,72,69,open,30237120,1,29.0,22-112086,0,2022_August,Supplies,0.2857142857142857,5.0,216900910,1
147516,0.0,0,1,1,0,0.0,35.0,11.910143324490312,73,59,open,79314000,1,27.0,22-112097,1,2022_August,Services,0.0,1.0,245901160,0
147517,0.0,0,1,1,1,15.0,35.0,12.301382825334498,73,59,open,79311000,1,27.0,22-112097,1,2022_August,Services,0.0,2.0,245901160,0
509146,0.0,1,0,0,0,0.0,35.0,11.994110103117713,57,06,open,39130000,0,36.0,22-112098,0,2022_August,Supplies,0.0,2.0,824575187,0
570555,0.0,0,0,0,0,0.0,40.0,11.002099841204238,72,44,open,60172000,0,31.0,22-112330,1,2022_August,Services,0.0,1.0,214401325,0
570556,0.0,0,0,0,0,0.0,40.0,9.903487552536127,72,44,open,60172000,0,31.0,22-112330,1,2022_August,Services,0.0,1.0,214401325,0
147489,0.0,0,1,1,1,5.0,40.0,14.253377129622761,73,59,open,45233141,0,30.0,22-112342,1,2022_August,Works,0.0,3.0,245901160,0
147490,0.0,0,1,1,1,5.0,40.0,13.425768295561339,73,59,open,34999300,0,30.0,22-112342,1,2022_August,Supplies,0.0,3.0,245901160,0
147491,2.0,0,1,1,0,0.0,40.0,12.577681614724584,73,59,open,77310000,0,30.0,22-112342,1,2022_August,Services,0.4,3.0,245901160,1
151397,1.0,1,0,0,0,0.0,40.0,14.151982794585487,73,59,open,71351810,1,36.0,22-112470,0,2022_August,Services,0.3333333333333333,2.0,245901160,1
431895,2.0,0,0,1,1,10.0,60.0,13.9108207377686,72,83,open,90513700,1,38.0,22-112506,1,2022_August,Services,0.6666666666666666,1.0,218300697,1
431896,1.0,0,0,1,1,15.0,50.0,13.122363377404328,72,83,open,90680000,1,38.0,22-112506,1,2022_August,Services,0.5,1.0,218300697,1
137196,1.0,1,0,0,0,0.0,40.0,12.166734497481684,73,59,open,77320000,0,29.0,22-112520,0,2022_August,Services,0.5,1.0,245901160,1
252113,0.0,0,0,1,0,0.0,100.0,15.036045450589189,73,69,open,90500000,1,32.0,22-112531,1,2022_August,Services,0.0,3.0,256900705,0
252114,0.0,0,0,1,0,0.0,100.0,14.213447399651647,73,69,open,90500000,1,32.0,22-112531,1,2022_August,Services,0.0,3.0,256900705,0
1120608,0.0,0,0,0,0,0.0,60.0,15.671808548329901,73,05,open,45233221,1,32.0,22-112611,0,2022_August,Works,0.0,2.0,200045789,0
764937,0.0,0,0,0,0,0.0,40.0,12.479700163814835,73,14,open,90480000,0,33.0,22-112767,0,2022_August,Services,0.0,1.0,200066801,0
976536,2.0,1,0,0,0,0.0,40.0,13.815510557964274,72,86,open,34927100,1,34.0,22-112840,0,2022_August,Supplies,0.6666666666666666,1.0,228600011,1
